startDate,droneName,leaderOrFollower,isCurrentLeaderOrFollower,flightSpeed,atSeconds,longitude,latitude,isHappenedError,errorType,flightDistance,remainDistance
2016-02-21 15:21:04,mercury,F,F,50,1,127.029321232,37.586360173,true,TRIVIAL,790.2615050103911,776.3970242639425
2016-02-21 15:21:04,mercury,F,F,50,2,127.029445821,37.586436435,false,NORMAL,790.2615050103911,762.5325522842053
2016-02-21 15:21:04,mercury,F,F,50,3,127.029570411,37.586512696,false,NORMAL,790.2615050103911,748.6680870312028
2016-02-21 15:21:04,mercury,F,F,50,4,127.029695,37.586588958,false,NORMAL,790.2615050103911,734.8036325865551
2016-02-21 15:21:04,mercury,F,F,50,5,127.029819589,37.58666522,false,NORMAL,790.2615050103911,720.9391869109966
2016-02-21 15:21:04,mercury,F,F,50,6,127.029944178,37.586741482,false,NORMAL,790.2615050103911,707.0747500015913
2016-02-21 15:21:04,mercury,F,F,50,7,127.030068768,37.586817743,false,NORMAL,790.2615050103911,693.2103198182966
2016-02-21 15:21:04,mercury,F,F,50,8,127.030193357,37.586894005,false,NORMAL,790.2615050103911,679.3459004463651
2016-02-21 15:21:04,mercury,F,F,50,9,127.030317946,37.586970267,false,NORMAL,790.2615050103911,665.4814898418352
2016-02-21 15:21:04,mercury,F,F,50,10,127.030442535,37.587046529,false,NORMAL,790.2615050103911,651.6170880048417
2016-02-21 15:21:04,mercury,F,F,50,11,127.030567125,37.58712279,false,NORMAL,790.2615050103911,637.7526928916592
2016-02-21 15:21:04,mercury,F,F,50,12,127.030691714,37.587199052,false,NORMAL,790.2615050103911,623.8883085914529
2016-02-21 15:21:04,mercury,F,F,50,13,127.030816303,37.587275314,false,NORMAL,790.2615050103911,610.0239330573927
2016-02-21 15:21:04,mercury,F,F,50,14,127.030940892,37.587351576,false,NORMAL,790.2615050103911,596.1595662932148
2016-02-21 15:21:04,mercury,F,F,50,15,127.031065482,37.587427838,false,NORMAL,790.2615050103911,582.2951384912844
2016-02-21 15:21:04,mercury,F,F,50,16,127.031190071,37.587504099,false,NORMAL,790.2615050103911,568.4308570249601
2016-02-21 15:21:04,mercury,F,F,50,17,127.03131466,37.587580361,false,NORMAL,790.2615050103911,554.5665165630678
2016-02-21 15:21:04,mercury,F,F,50,18,127.031439249,37.587656623,false,NORMAL,790.2615050103911,540.7021848689391
2016-02-21 15:21:04,mercury,F,F,50,19,127.031563839,37.587732885,false,NORMAL,790.2615050103911,526.8377921406093
2016-02-21 15:21:04,mercury,F,F,50,20,127.031688428,37.587809146,false,NORMAL,790.2615050103911,512.973545745448
2016-02-21 15:21:04,mercury,F,F,50,21,127.031813017,37.587885408,false,NORMAL,790.2615050103911,499.109240354999
2016-02-21 15:21:04,mercury,F,F,50,22,127.031937606,37.58796167,false,NORMAL,790.2615050103911,485.24494373547225
2016-02-21 15:21:04,mercury,F,F,50,23,127.032062196,37.588037932,false,NORMAL,790.2615050103911,471.3805860804
2016-02-21 15:21:04,mercury,F,F,50,24,127.032186785,37.588114194,false,NORMAL,790.2615050103911,457.5163069951117
2016-02-21 15:21:04,mercury,F,F,50,25,127.032311374,37.588190455,false,NORMAL,790.2615050103911,443.6521044398795
2016-02-21 15:21:04,mercury,F,F,50,26,127.032435963,37.588266717,true,TRIVIAL,790.2615050103911,429.78784289245453
2016-02-21 15:21:04,mercury,F,F,50,27,127.032560553,37.588342979,false,NORMAL,790.2615050103911,415.92352031120913
2016-02-21 15:21:04,mercury,F,F,50,28,127.032685142,37.588419241,false,NORMAL,790.2615050103911,402.059276299278
2016-02-21 15:21:04,mercury,F,F,50,29,127.032809731,37.588495502,false,NORMAL,790.2615050103911,388.1951088171341
2016-02-21 15:21:04,mercury,F,F,50,30,127.03293432,37.588571764,false,NORMAL,790.2615050103911,374.3308823428113
2016-02-21 15:21:04,mercury,F,L,50,31,127.03305891,37.588648026,false,NORMAL,790.2615050103911,360.4665948346687
2016-02-21 15:21:04,mercury,F,L,50,32,127.033183499,37.588724288,false,NORMAL,790.2615050103911,346.602385896664
2016-02-21 15:21:04,mercury,F,L,50,33,127.033308088,37.588800549,false,NORMAL,790.2615050103911,332.73825348753144
2016-02-21 15:21:04,mercury,F,L,50,34,127.033432677,37.588876811,false,NORMAL,790.2615050103911,318.87406208752753
2016-02-21 15:21:04,mercury,F,L,50,35,127.033557267,37.588953073,false,NORMAL,790.2615050103911,305.0098096510656
2016-02-21 15:21:04,mercury,F,L,50,36,127.033681856,37.589029335,false,NORMAL,790.2615050103911,291.1456357882546
2016-02-21 15:21:04,mercury,F,L,50,37,127.033806445,37.589105597,false,NORMAL,790.2615050103911,277.28147069212275
2016-02-21 15:21:04,mercury,F,L,50,38,127.033931034,37.589181858,false,NORMAL,790.2615050103911,263.4173821247333
2016-02-21 15:21:04,mercury,F,L,50,39,127.034055624,37.58925812,false,NORMAL,790.2615050103911,249.5531647653684
2016-02-21 15:21:04,mercury,F,L,50,40,127.034180213,37.589334382,false,NORMAL,790.2615050103911,235.6890259763285
2016-02-21 15:21:04,mercury,F,L,50,41,127.034304802,37.589410644,false,NORMAL,790.2615050103911,221.82489595470426
2016-02-21 15:21:04,mercury,F,L,50,42,127.034429391,37.589486905,false,NORMAL,790.2615050103911,207.96084246176972
2016-02-21 15:21:04,mercury,F,L,50,43,127.034553981,37.589563167,false,NORMAL,790.2615050103911,194.09666017592338
2016-02-21 15:21:04,mercury,F,L,50,44,127.03467857,37.589639429,false,NORMAL,790.2615050103911,180.23255646165498
