startDate,droneName,leaderOrFollower,isCurrentLeaderOrFollower,flightSpeed,atSeconds,longitude,latitude,isHappenedError,errorType,flightDistance,remainDistance
2016-02-21 19:13:54,earth,F,F,50,1,127.036173641,37.59055457,true,MINOR,790.2615050104434,776.3975153107893
2016-02-21 19:13:54,earth,F,F,50,2,127.036049052,37.590478308,false,NORMAL,790.2615050104434,762.5335168406641
2016-02-21 19:13:54,earth,F,F,50,3,127.035924462,37.590402047,false,NORMAL,790.2615050104434,748.6695075528526
2016-02-21 19:13:54,earth,F,F,50,4,127.035799873,37.590325785,true,MAJOR,790.2615050104434,734.8054915422745
2016-02-21 19:13:54,earth,F,F,50,5,127.035675284,37.590249523,false,NORMAL,790.2615050104434,720.941466764898
2016-02-21 19:13:54,earth,F,F,50,6,127.035550695,37.590173261,false,NORMAL,790.2615050104434,707.0774332162767
2016-02-21 19:13:54,earth,F,F,50,7,127.035426105,37.590097,false,NORMAL,790.2615050104434,693.2133888502917
2016-02-21 19:13:54,earth,F,F,50,8,127.035301516,37.590020738,false,NORMAL,790.2615050104434,679.349337762257
2016-02-21 19:13:54,earth,F,F,50,9,127.035176927,37.589944476,false,NORMAL,790.2615050104434,665.4852779050896
2016-02-21 19:13:54,earth,F,F,50,10,127.035052338,37.589868214,false,NORMAL,790.2615050104434,651.6212092798868
2016-02-21 19:13:54,earth,F,F,50,11,127.034927748,37.589791953,false,NORMAL,790.2615050104434,637.7571298365135
2016-02-21 19:13:54,earth,F,F,50,12,127.034803159,37.589715691,false,NORMAL,790.2615050104434,623.8930436700824
2016-02-21 19:13:54,earth,F,F,50,13,127.03467857,37.589639429,false,NORMAL,790.2615050104434,610.0289487354697
2016-02-21 19:13:54,earth,F,F,50,14,127.034553981,37.589563167,false,NORMAL,790.2615050104434,596.1648450324789
2016-02-21 19:13:54,earth,F,F,50,15,127.034429391,37.589486905,false,NORMAL,790.2615050104434,582.3006627547056
2016-02-21 19:13:54,earth,F,F,50,16,127.034304802,37.589410644,false,NORMAL,790.2615050104434,568.4366092675986
2016-02-21 19:13:54,earth,F,F,50,17,127.034180213,37.589334382,true,MINOR,790.2615050104434,554.5724792558946
2016-02-21 19:13:54,earth,F,F,50,18,127.034055624,37.58925812,false,NORMAL,790.2615050104434,540.7083404752542
2016-02-21 19:13:54,earth,F,F,50,19,127.033931034,37.589181858,false,NORMAL,790.2615050104434,526.8441231217353
2016-02-21 19:13:54,earth,F,F,50,20,127.033806445,37.589105597,false,NORMAL,790.2615050104434,512.9800345570847
2016-02-21 19:13:54,earth,F,F,50,21,127.033681856,37.589029335,true,MINOR,790.2615050104434,499.1158694682121
2016-02-21 19:13:54,earth,F,F,50,22,127.033557267,37.588953073,false,NORMAL,790.2615050104434,485.2516956115701
2016-02-21 19:13:54,earth,F,F,50,23,127.033432677,37.588876811,false,NORMAL,790.2615050104434,471.38744317743283
2016-02-21 19:13:54,earth,F,F,50,24,127.033308088,37.588800549,true,TRIVIAL,790.2615050104434,457.5232517827017
2016-02-21 19:13:54,earth,F,F,50,25,127.033183499,37.588724288,false,NORMAL,790.2615050104434,443.65911937362273
2016-02-21 19:13:54,earth,F,F,50,26,127.03305891,37.588648026,false,NORMAL,790.2615050104434,429.79491043891016
2016-02-21 19:13:54,earth,F,F,50,27,127.03293432,37.588571764,false,NORMAL,790.2615050104434,415.9306229310807
2016-02-21 19:13:54,earth,F,F,50,28,127.032809731,37.588495502,false,NORMAL,790.2615050104434,402.0663964591536
2016-02-21 19:13:54,earth,F,F,50,29,127.032685142,37.588419241,false,NORMAL,790.2615050104434,388.20222897397474
2016-02-21 19:13:54,earth,F,F,50,30,127.032560553,37.588342979,false,NORMAL,790.2615050104434,374.3379849635371
2016-02-21 19:13:54,earth,F,F,50,31,127.032435963,37.588266717,false,NORMAL,790.2615050104434,360.4736623795146
2016-02-21 19:13:54,earth,F,F,50,32,127.032311374,37.588190455,false,NORMAL,790.2615050104434,346.60940083203997
2016-02-21 19:13:54,earth,F,F,50,33,127.032186785,37.588114194,false,NORMAL,790.2615050104434,332.74519827111556
2016-02-21 19:13:54,earth,F,F,50,34,127.032062196,37.588037932,false,NORMAL,790.2615050104434,318.88091918444405
2016-02-21 19:13:54,earth,F,F,50,35,127.031937606,37.58796167,false,NORMAL,790.2615050104434,305.01656152436743
2016-02-21 19:13:54,earth,F,F,50,36,127.031813017,37.587885408,false,NORMAL,790.2615050104434,291.15226490213007
2016-02-21 19:13:54,earth,F,F,50,37,127.031688428,37.587809146,false,NORMAL,790.2615050104434,277.2879595083115
2016-02-21 19:13:54,earth,F,F,50,38,127.031563839,37.587732885,true,MAJOR,790.2615050104434,263.42371310434146
2016-02-21 19:13:54,earth,F,F,50,39,127.031439249,37.587656623,false,NORMAL,790.2615050104434,249.55932036878056
2016-02-21 19:13:54,earth,F,F,50,40,127.03131466,37.587580361,false,NORMAL,790.2615050104434,235.6949886692797
2016-02-21 19:13:54,earth,F,F,50,41,127.031190071,37.587504099,true,MINOR,790.2615050104434,221.83064820114143
2016-02-21 19:13:54,earth,F,F,50,42,127.031065482,37.587427838,false,NORMAL,790.2615050104434,207.96636672378295
2016-02-21 19:13:54,earth,F,F,50,43,127.030940892,37.587351576,false,NORMAL,790.2615050104434,194.10193891110066
2016-02-21 19:13:54,earth,F,F,50,44,127.030816303,37.587275314,false,NORMAL,790.2615050104434,180.23757213888885
2016-02-21 19:13:54,earth,F,F,50,45,127.030691714,37.587199052,false,NORMAL,790.2615050104434,166.3731965961376
